,노래
292,  반만    정효빈  
293,  어떻게 지내  Prod. By VAN.C     Etham  
294,  AND I    임한별  
295,  아름답고도 아프구나    AJ Mitchell  
296,  Lonely Night    진민호  
297,  I’ll Still Have Me    오반  
298,  아무렇지 않게  안녕    뉴이스트 W  
299,  넌 내가 보고 싶지 않나 봐    비투비  
300,  사랑은 늘 도망가    임영웅  
301,  코 끝이 찡하게    차가을  
302,  혼자 사랑하고 미워해    백예슬  
303,  비 오는 날 듣기 좋은 노래  Feat. Colde     에픽하이  EPIK HIGH   
304,  Your Lights    이수  엠씨더맥스   
305,  너와 나 우리  Feat. ZELO of B.A.P     이예준  
306,  별이 쏟아지는 밤    려욱  RYEOWOOK   
307,  헤픈 우연    헤이즈  Heize   
308,  Falling    Harry Styles  
309,  High    5 Seconds of Summer  
310,  If the World Was Ending  feat. Julia Michaels   Feat. Julia Michaels     JP Saxe  
311,  그냥 안아달란 말야    다비치  
312,  2 soon    keshi  
313,  r u ok    Tate McRae  
314,  cheap sunglasses    John K  
315,  Rain    태연  TAEYEON   
316,  어떻게 이별까지 사랑하겠어  널 사랑하는 거지    AKMU  악뮤   
317,  기다릴게    하동균  
318,  사랑하기 싫어    봉구  
319,  Gone    영지  
320,  To Die For  Acoustic     로제  ROSÉ   
321,  Rosario  Feat. CL  ZICO     Sam Smith  
322,  rainy day    에픽하이  EPIK HIGH   
323,  LMM    휘성  Realslow   
324,  사랑 못해  남들 쉽게 다 하는 거    태일  블락비   
325,  멜로디    청하  
326,  사랑한단 거짓말은 안 할래    화사  Hwa Sa   
327,  함께 했는데 이별은 나 혼자인 거야    먼데이 키즈  Monday Kiz   
328,  X  걸어온 길에 꽃밭 따윈 없었죠     ASH ISLAND  
329,  그리워하면 그댈 만날까봐    먼데이 키즈  Monday Kiz   
330,  오월의 어느 봄날  Feat. 첸 CHEN      최현준  V.O.S   
331,  혼술하고 싶은 밤    이소정  
332,  가을밤에 든 생각    청하  
333,  사실 나는  Feat.전건호     김나영  
334,  널 사랑했던 한 사람    임한별  
335,  안녕과 안녕으로    벤  
336,  Daybreak  Minhyun&JR     잔나비  
337,  사랑은 지날수록 더욱 선명하게 남아    경서예지  
338,  처음이라서    펀치  Punch   
339,  Purpose  Stripped     이예준  
340,  안녕  오늘의 그대에게    뉴이스트  
341,  Like Strangers Do    전상근  
342,  반만    정효빈  
343,  어떻게 지내  Prod. By VAN.C     Etham  
344,  AND I    임한별  
345,  아름답고도 아프구나    AJ Mitchell  
346,  Lonely Night    진민호  
347,  I’ll Still Have Me    오반  
348,  아무렇지 않게  안녕    뉴이스트 W  
349,  넌 내가 보고 싶지 않나 봐    비투비  
350,  사랑은 늘 도망가    임영웅  
351,  코 끝이 찡하게    차가을  
352,  혼자 사랑하고 미워해    백예슬  
353,  비 오는 날 듣기 좋은 노래  Feat. Colde     에픽하이  EPIK HIGH   
354,  Your Lights    이수  엠씨더맥스   
355,  너와 나 우리  Feat. ZELO of B.A.P     이예준  
356,  별이 쏟아지는 밤    려욱  RYEOWOOK   
357,  헤픈 우연    헤이즈  Heize   
358,  Falling    Harry Styles  
359,  High    5 Seconds of Summer  
360,  If the World Was Ending  feat. Julia Michaels   Feat. Julia Michaels     JP Saxe  
361,  그냥 안아달란 말야    다비치  
362,  2 soon    keshi  
363,  r u ok    Tate McRae  
