노래,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
"('Yesterday', 'San E')",7,3,6,3,9,5,5,0,1,8,2
"('MDA', '초아')",4,0,0,1,0,2,5,5,0,2,0
"('home alone type.', 'hamzzi')",1,0,0,0,0,0,5,0,0,0,2
"('Answer', 'Mood.')",9,0,1,0,2,2,5,4,2,5,3
"('북극성 (Never Goodbye)', 'homezone')",11,0,0,0,0,0,5,6,0,0,0
"('잊을 수 없어', 'NCT DREAM')",1,0,1,0,0,0,5,0,0,2,0
"('Ending', '9001 (Ninety O One)')",0,1,2,1,2,0,5,0,0,0,1
"('Yellow (Feat.런치)', '싸비 (XAVII)')",5,0,0,1,0,0,5,3,0,2,2
"('봄여름가을겨울 (Still Life)', '주시크 (Joosiq)')",2,1,0,0,1,0,5,0,0,0,2
"('끊기 싫어 버티는 네가 좋아', 'BIGBANG (빅뱅)')",2,1,0,0,1,0,5,6,1,2,2
"('각자의 취향 (Feat. Paloalto)', 'WEN')",0,0,0,0,0,0,5,3,0,0,1
"('Someday (Feat. SOLE) (Prod. Padi)', 'Milena (밀레나)')",0,0,5,0,0,0,5,6,0,0,0
"('right here', '선재 (snzae)')",3,0,0,0,1,0,5,0,0,3,3
"('HEY', 'keshi')",3,0,1,0,0,0,5,0,0,2,1
"('Ooh Ooh', 'THAMA')",11,0,0,0,0,0,5,2,1,0,2
"('이상기후', 'THAMA')",0,0,6,0,3,1,5,0,0,2,0
"('운명이란걸 (Feat. KAYA)', '기리보이')",0,0,1,0,0,0,6,0,0,0,0
"('NO MORE (Feat. 채수빈)', '비미 (BEME)')",1,0,1,0,0,0,5,0,0,0,2
"('Cashmere (Feat. 네이비쿼카)', 'Plo6')",4,0,1,1,2,0,5,3,1,10,3
"('마음은 마음대로', '리슨 (LYSON)')",0,0,0,0,1,1,5,0,0,0,1
"('Back to Love', '우재 (WOOJAE)')",0,0,1,1,2,0,7,3,0,3,8
"('Forever (feat. So!YoON!)', 'FRankly (프랭클리)')",1,0,0,2,0,0,5,4,0,0,1
"('젖은 우산', 'Rad Museum')",5,2,2,1,2,0,5,0,2,1,0
"('이렇게 둘이', 'Rad Museum')",0,1,1,0,0,0,5,0,0,0,0
"('우린 어떠한 별보다 빛날 거야', '창모 (CHANGMO)')",0,0,0,0,0,0,5,0,0,0,0
"('Maybe We Could Be a Thing', '이하이')",6,0,2,1,2,0,5,6,0,1,1
"('GANADARA (Feat. 아이유)', 'Jesse Barrera')",5,0,1,0,0,0,5,1,0,4,1
"('A LOT', 'Michael Carreon')",0,0,0,0,12,0,5,4,0,0,0
"('Love yourself', 'Albert Posis')",0,0,0,0,0,0,5,0,0,0,0
"('우리 얘기 좀 하자 (With 예빈(다이아))', '박재범')",2,0,0,0,0,0,5,0,0,0,1
"('October Rain', 'John K')",4,0,0,0,2,0,5,0,0,0,3
"('어제처럼', '저드 (jerd)')",6,0,0,0,0,0,5,2,1,1,0
"('손을 잡는다거나, 같이 걷는다거나', '단칸방 로맨스')",0,0,0,0,0,0,5,1,0,0,0
"('Fallin (Acoustic ver.) (Song by SIM2, Owler)', 'JEHO')",1,1,0,0,0,1,5,0,0,0,0
"('Pilot', '폴킴')",0,1,0,0,0,0,5,1,0,0,0
"('선을 그려줘 (Feat. 백선)', '적재')",5,0,0,1,0,0,5,4,0,2,0
"('그래서 그래 (Feat. 윤하)', 'SOUND PALETTE')",2,0,0,0,0,0,5,0,0,0,0
"('Midnight Library (Feat. Kelsey Kuan, Kevin Chung)', 'NCT 127')",1,0,0,0,0,0,5,1,0,3,2
"('꿈의 백화점 (Feat. Ashley Alisha, Heyden)', '노르웨이 숲')",0,0,0,0,0,0,5,0,0,0,0
"('말해줘', '에픽하이 (EPIK HIGH)')",0,0,0,0,0,0,5,0,0,1,0
"('Sunshine', '뎁트')",0,0,0,0,0,0,5,0,0,0,0
"('Guess & try (feat. RIPLEY)', '뎁트')",0,0,2,0,0,0,5,6,0,7,0
"('야몽음인 (夜夢陰人)', '이바다')",0,0,0,0,0,0,0,5,0,0,0
"('One More Night (Feat. VINXEN)', '베이빌론 (Babylon)')",5,0,0,0,2,0,0,5,0,0,2
"('Deep', '유성은')",0,0,0,0,0,0,0,5,0,0,0
"('소원이지 (Feat. 유병재)', 'MINO (송민호)')",0,0,0,0,0,0,0,5,0,0,0
"('닿은 순간 (Ooh La La La)', 'EXO')",0,0,0,0,0,0,0,6,0,0,1
"('비 오는 거리 (Feat. 핫펠트)', '베이빌론 (Babylon)')",3,1,2,0,1,0,0,8,2,1,0
"('깜빡 Remix (Feat. Crush, Elo & Jinbo)', 'GRAY (그레이)')",0,0,0,0,0,0,0,5,0,0,0
"('Funny (PROD. e.one, SEION)', '소유 (SOYOU)')",2,0,0,1,1,0,0,5,1,0,0
"('곡선', '선미')",0,0,0,0,0,0,0,5,0,0,0
