,노래,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
360,Call of Silence,Sawano Hiroyuki [nZk],3,0,0,0,0,0,0,0,5,3,0
361,슬픈 행진 (Sad March),일레인,1,0,0,0,0,0,0,2,5,0,1
362,전쟁터 (with 이선희),AKMU (악뮤),1,0,9,0,1,0,0,1,6,0,4
363,Through Time,"김동혁, 이한범",2,0,0,0,0,0,0,0,5,10,3
364,Lost,윤미래,2,0,0,0,0,0,2,0,6,9,4
365,Kingdom Come,Red Velvet (레드벨벳),2,1,2,2,0,0,1,1,5,2,1
366,Timeless,비비 (BIBI),0,0,0,0,0,0,0,1,5,3,5
367,Control,Halsey,1,0,0,0,2,0,0,2,5,1,0
368,잘 알지도 못하면서,김예림 (Lim Kim),1,0,0,5,0,0,0,4,6,0,7
369,Pandora,락다이아몬드,0,0,0,0,0,0,0,0,5,0,0
370,자각몽 (Lucid Dream),"Asteria, Sondia",1,0,1,0,1,0,0,1,5,0,0
371,다시 웃을 수 있을까,김민승,0,0,0,0,0,0,0,0,5,0,0
372,불꽃,초아,0,0,0,0,0,0,0,0,5,0,0
373,시간,가호 (Gaho),0,0,0,0,0,0,0,0,5,0,0
374,Lost Family,"하근영, 조은정",0,0,0,0,0,0,0,0,5,0,0
375,자각몽,모노그램,0,0,0,0,0,0,0,0,5,0,0
376,목소리,김연지,0,0,0,0,0,0,0,0,5,0,0
377,Pray,클랑 (KLANG),0,0,0,0,0,0,0,0,5,0,0
378,"괴물, 누구인가","하근영, 김예솔",0,0,0,0,0,0,0,0,5,0,0
379,Poker Face,김유안,0,0,0,0,0,0,0,0,5,0,0
380,낮은 목소리,JAMIE (제이미),0,0,0,0,0,1,1,0,5,0,0
381,봄눈,펜타곤,0,0,0,0,0,0,0,0,0,5,0
382,첫 데이트,스윗소로우 (SWEET SORROW),1,0,0,1,1,0,0,1,0,5,1
383,벚꽃 엔딩,버스커 버스커,0,0,0,0,0,0,0,0,0,5,0
384,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",0,0,0,0,0,0,0,0,0,5,0
