,노래,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
250,잊을 수 없어,9001 (Ninety O One),0,0,0,0,0,0,5,3,0,0,1
251,Ending,싸비 (XAVII),0,0,0,0,0,0,5,0,0,0,0
252,Yellow (Feat.런치),주시크 (Joosiq),1,0,2,0,3,0,5,3,0,0,0
253,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),2,1,2,0,0,0,5,2,0,1,0
254,끊기 싫어 버티는 네가 좋아,WEN,0,2,1,0,0,0,5,3,1,1,3
255,각자의 취향 (Feat. Paloalto),Milena (밀레나),4,0,4,0,0,1,5,14,0,9,0
256,Someday (Feat. SOLE) (Prod. Padi),선재 (snzae),1,0,1,0,1,0,6,1,0,0,0
257,right here,keshi,0,0,0,0,0,0,5,0,0,0,0
258,HEY,THAMA,0,0,0,0,0,0,5,0,0,0,0
259,Ooh Ooh,THAMA,2,0,2,0,2,0,5,2,0,0,0
260,이상기후,기리보이,14,1,2,1,0,1,5,1,0,2,0
261,운명이란걸 (Feat. KAYA),비미 (BEME),1,1,4,1,0,1,5,1,0,3,4
262,NO MORE (Feat. 채수빈),Plo6,2,0,0,0,0,0,5,0,0,2,0
263,Cashmere (Feat. 네이비쿼카),리슨 (LYSON),0,0,1,0,0,0,5,1,0,5,1
264,마음은 마음대로,우재 (WOOJAE),0,0,0,0,1,0,5,1,1,3,4
265,Back to Love,FRankly (프랭클리),1,0,0,0,0,0,5,1,0,2,0
266,Forever (feat. So!YoON!),Rad Museum,1,1,4,2,0,1,5,1,0,1,1
267,젖은 우산,Rad Museum,0,0,0,0,0,0,5,0,0,0,0
268,이렇게 둘이,창모 (CHANGMO),5,0,0,0,0,0,5,0,0,1,0
269,우린 어떠한 별보다 빛날 거야,이하이,1,0,1,0,0,0,7,2,0,4,6
270,Maybe We Could Be a Thing,"Jesse Barrera, Michael Carreon, Albert Posis",0,0,0,0,0,0,5,0,0,0,0
271,GANADARA (Feat. 아이유),박재범,3,1,1,1,0,0,5,0,1,1,6
272,A LOT,John K,0,0,0,0,0,0,5,0,0,0,0
273,Love yourself,저드 (jerd),3,1,3,1,0,1,5,1,0,7,2
274,우리 얘기 좀 하자 (With 예빈(다이아)),단칸방 로맨스,4,1,0,1,0,0,5,1,0,3,1
275,October Rain,JEHO,0,0,0,0,0,0,6,1,0,0,0
276,어제처럼,폴킴,7,0,2,0,0,0,5,0,0,3,0
277,"손을 잡는다거나, 같이 걷는다거나",적재,0,0,1,0,0,0,5,0,0,4,1
278,"Fallin (Acoustic ver.) (Song by SIM2, Owler)",SOUND PALETTE,3,0,0,0,0,2,5,1,0,1,0
279,Pilot,NCT 127,1,0,1,0,0,0,5,1,1,0,4
280,선을 그려줘 (Feat. 백선),노르웨이 숲,0,0,3,0,0,0,5,0,0,0,0
281,그래서 그래 (Feat. 윤하),에픽하이 (EPIK HIGH),9,3,0,1,1,2,6,3,3,3,1
282,"Midnight Library (Feat. Kelsey Kuan, Kevin Chung)",뎁트,4,0,4,0,0,0,5,2,0,0,2
283,"꿈의 백화점 (Feat. Ashley Alisha, Heyden)",뎁트,4,0,12,0,0,0,5,1,0,6,1
284,말해줘,네이비쿼카 (NavyQuokka),7,0,4,1,0,1,5,0,0,0,0
285,Sunshine,"승오, 우림",2,1,1,1,0,1,5,0,0,1,0
286,Guess & try (feat. RIPLEY),"승오, 우림",3,0,3,0,0,0,5,1,1,0,0
287,야몽음인 (夜夢陰人),이바다,1,0,0,0,0,1,0,5,0,1,1
288,One More Night (Feat. VINXEN),베이빌론 (Babylon),3,0,0,0,0,0,1,6,0,2,1
289,Deep,유성은,0,0,0,0,0,0,0,9,0,4,1
290,소원이지 (Feat. 유병재),MINO (송민호),1,1,16,0,1,0,0,5,4,0,10
291,닿은 순간 (Ooh La La La),EXO,0,0,3,1,0,0,1,8,0,3,2
292,비 오는 거리 (Feat. 핫펠트),베이빌론 (Babylon),1,0,0,1,0,0,0,7,0,1,0
293,"깜빡 Remix (Feat. Crush, Elo & Jinbo)",GRAY (그레이),2,0,2,0,0,0,1,7,1,0,0
294,"Funny (PROD. e.one, SEION)",소유 (SOYOU),0,0,1,0,0,0,0,7,0,1,0
295,곡선,선미,0,0,0,0,0,0,0,5,1,1,0
296,HERE I COME,신화,1,1,2,1,2,1,0,13,1,3,2
297,Trouble Maker,트러블메이커,0,0,0,1,0,0,0,6,0,0,0
298,"PLAY ME (Feat. 식케이, PENOMECO)",WOOGIE,1,0,1,0,0,0,1,5,0,0,1
299,Cereal (Feat. ZICO),Crush,0,1,1,5,0,0,0,13,1,0,0
300,Wanna Love You,폴킴,0,0,0,0,0,0,0,9,0,0,1
301,야시시,NS 윤지,0,0,0,0,0,0,0,15,0,3,0
302,Lovestar (#럽스타),나비 (Navi),0,0,0,1,0,0,0,11,1,3,4
303,아슬해,EXID,3,1,4,4,0,1,0,5,0,2,0
304,X (Cross The Moonlight) (Feat. 이라온),마크툽 (MAKTUB),2,0,2,0,0,0,0,5,0,0,1
305,매일밤,EXID,3,0,1,0,0,0,1,5,0,6,0
306,I Got Love,태연 (TAEYEON),4,0,0,1,0,0,0,6,1,3,0
307,피어나,가인,0,0,0,0,0,0,0,8,0,3,3
308,Paradise Lost,가인,0,0,6,0,3,1,0,5,0,2,0
309,"아끼지마 (Feat. 초아(AOA), 아이언) (Don't Be Shy)",프라이머리,0,0,2,0,0,0,2,8,0,2,0
310,우리끼리 (Words Don't Come Easy),마마무 (Mamamoo),0,0,0,4,0,0,0,16,0,2,0
311,A-Ha,아이비,1,0,1,0,0,0,0,6,0,3,0
312,Sweet & Easy,원더걸스,3,0,0,0,0,0,0,8,0,0,0
313,집에 안갈래 (Feat. 긱스),나비 (Navi),2,1,0,0,0,0,0,8,1,2,2
314,U & Me (Feat. JINBO),SUMIN (수민),0,0,0,0,0,0,0,5,0,1,1
315,Like This (Feat. SOMA),리코 (Rico),1,0,1,1,1,0,0,5,0,1,1
316,Tattoo (Feat. 박재범),ELO,1,0,0,0,0,0,0,7,3,0,2
317,Melt (Feat. Colde),ELO,0,0,0,0,0,0,0,5,0,1,0
318,TOUCH MY BODY,샘김 (Sam Kim),0,0,1,0,0,1,0,5,0,1,1
319,"Downtown Love (Feat. 매드클라운, 웨일)",주영,0,0,0,0,0,0,0,5,3,0,0
320,Planet Girl (Feat. pH-1),주영,0,0,3,2,0,0,0,6,0,0,0
321,Moonlight,나비 (Navi),0,0,2,3,0,0,0,6,0,4,1
